Year,CO2 Emissions (Ton per capita)
1992,8.72121160174571
1993,8.74130132000992
1994,9.10012739577305
1995,9.1358962614313
1996,9.59617238165668
1997,9.91161734170783
1998,10.3845932982393
1999,10.6939916149682
2000,10.8347426425178
2001,11.3882311587761
2002,11.0412508103492
2003,10.6811767034378
2004,10.7516366268314
2005,10.4661517040977
2006,10.0993731033222
2007,10.1475288830814
2008,9.57764129274599
2008,8.88901094176336
2010,8.78361393417548
2011,7.78541463740776
2012,7.7594726892712
2013,7.57994921594835
2014,7.37811780885705
